Niveau,Methode_ML,ML_Score,IF_Score,AE_ReconError,IF_Severity,AE_Severity,ML_Severity,Jour,Ticker
Instrument,IF+AE,45.4,0.7503588163931321,0.014404697430702114,Critique,Modéré,Faible,2025-10-20,STR
Instrument,IF+AE,45.3,0.7491630308496655,0.014607593845128906,Critique,Modéré,Faible,2025-08-19,NKL
Instrument,IF+AE,45.2,0.7135969337191614,0.09347549934783292,Critique,Critique,Faible,2025-07-28,VCN
Instrument,IF+AE,45.1,0.7461470049958896,0.013499174122741738,Critique,Modéré,Faible,2025-11-05,CMT
Instrument,IF+AE,45.1,0.7418776983951447,0.022080374890980647,Critique,Critique,Faible,2025-09-02,MDP
Instrument,IF+AE,45.0,0.7444737636431518,0.013890396603063774,Critique,Modéré,Faible,2025-06-26,MDP
Instrument,IF+AE,45.0,0.7486068651331332,0.004306640292170232,Critique,Faible,Faible,2025-08-06,MDP
Instrument,IF+AE,45.0,0.7476778624407681,0.0060326777230872595,Critique,Faible,Faible,2025-03-04,SNA
Instrument,IF+AE,45.0,0.7342949810056522,0.03859459857325702,Critique,Critique,Faible,2025-02-05,MOX
Instrument,IF+AE,45.0,0.74721675278584,0.005572593627661552,Critique,Faible,Faible,2025-05-21,STR
Instrument,IF+AE,44.9,0.7161223474006582,0.07691702442610114,Critique,Critique,Faible,2025-07-16,STR
Instrument,IF+AE,44.9,0.7363855624124007,0.027341334711742927,Critique,Critique,Faible,2025-10-06,VCN
Instrument,IF+AE,44.8,0.7457467046847001,0.002160376157058125,Critique,Normal,Faible,2025-07-04,CRS
Instrument,IF+AE,44.7,0.7333977601013589,0.027882201127989732,Critique,Critique,Faible,2025-12-31,GTM
Instrument,IF+AE,44.6,0.740681082496839,0.005798620953344814,Critique,Faible,Faible,2025-04-17,SAH
Instrument,IF+AE,44.6,0.7373511428628502,0.015550966873056103,Critique,Modéré,Faible,2025-01-31,MOX
Instrument,IF+AE,44.6,0.5404200386767997,0.4737961613276415,Critique,Critique,Faible,2025-01-09,CTM
Instrument,IF+AE,44.6,0.7198227749035306,0.053151397552854224,Critique,Critique,Faible,2025-12-15,CAP
Instrument,IF+AE,44.5,0.7346580770092708,0.014567795785954808,Critique,Modéré,Faible,2025-02-28,FBR
Instrument,IF+AE,44.5,0.740468648221733,0.0026550392134096997,Critique,Normal,Faible,2025-03-17,SNA
Instrument,IF+AE,44.5,0.7394662960928085,0.004400729745723652,Critique,Faible,Faible,2025-09-15,NKL
Instrument,IF+AE,44.5,0.7371113435723349,0.011570419718038535,Critique,Modéré,Faible,2025-03-17,STR
Instrument,IF+AE,44.2,0.7356434006751097,0.0028709691027671864,Critique,Normal,Faible,2025-03-24,SNA
Instrument,IF+AE,44.2,0.7297509251299215,0.015530071515187018,Critique,Modéré,Faible,2025-03-28,SNA
Instrument,IF+AE,44.0,0.7325119542089329,0.003258355689560662,Critique,Faible,Faible,2025-04-21,S2M
Instrument,IF+AE,44.0,0.7161593180282912,0.03901361780806567,Critique,Critique,Faible,2025-07-08,SRM
Instrument,IF+AE,43.9,0.726181060711859,0.011653967381596127,Critique,Modéré,Faible,2025-07-08,ZDJ
